gbifID,type,format,identifier,references,title,description,source,audience,created,creator,contributor,publisher,license,rightsHolder,Image #
5197500981,StillImage,image/jpeg,https://observation.org/photos/123488935.jpg,,,,,,,Sean van der Steeg,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Sean van der Steeg,372
5197500981,StillImage,image/jpeg,https://observation.org/photos/123488934.jpg,,,,,,,Sean van der Steeg,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Sean van der Steeg,373
5189125399,StillImage,,https://arter.dk/media/4431f595-ab46-4bf7-a721-b2fc00a9a07b.jpg,,,,,,,,,,http://creativecommons.org/licenses/by-nc/4.0/,,374
5189125399,StillImage,,https://arter.dk/media/14cd8203-4df6-4418-913f-b2fc00a99e62.jpg,,,,,,,,,,http://creativecommons.org/licenses/by-nc/4.0/,,375
5189125399,StillImage,,https://arter.dk/media/3f5984bc-2391-4796-b214-b2fc00a99d03.jpg,,,,,,,,,,http://creativecommons.org/licenses/by-nc/4.0/,,376
5188317695,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/516679344/original.jpg,https://www.inaturalist.org/photos/516679344,,,,,2025-06-01T21:58:29Z,ocanire,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,ocanire,377
5188317695,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/516680709/original.jpg,https://www.inaturalist.org/photos/516680709,,,,,2025-06-01T21:58:35Z,ocanire,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,ocanire,378
5188182540,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/490203388/original.jpeg,https://www.inaturalist.org/photos/490203388,,,,,2025-04-23T20:00:45Z,Robert H. Wardell,,iNaturalist,http://creativecommons.org/publicdomain/zero/1.0/,Robert H. Wardell,379
5188119777,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/514276917/original.jpg,https://www.inaturalist.org/photos/514276917,,,,,2025-05-28T00:59:28Z,Viktoria_Sergiichuk,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Viktoria_Sergiichuk,380
5188034552,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/516589282/original.jpg,https://www.inaturalist.org/photos/516589282,,,,,2025-06-06T13:00:41Z,rattierre,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,rattierre,381
